age,gender,signs_of_mental_illness,threat_level,flee,body_camera,african_american
39,1,1,1,0,0,FALSE
67,1,1,1,0,0,TRUE
29,1,0,1,1,0,FALSE
25,1,0,1,1,0,TRUE
28,1,1,1,0,0,FALSE
21,1,0,1,0,0,TRUE
32,1,0,1,0,1,FALSE
51,1,1,0,1,0,FALSE
39,1,0,1,0,0,FALSE
27,1,0,0,0,0,TRUE
31,1,1,1,1,0,FALSE
50,1,0,1,0,0,FALSE
61,1,0,1,0,0,FALSE
32,1,0,0,1,0,FALSE
47,1,0,0,0,0,FALSE
46,1,0,1,1,0,FALSE
57,1,1,1,0,1,FALSE
23,1,0,1,0,1,FALSE
56,1,0,1,0,0,FALSE
24,1,1,1,0,0,FALSE
27,1,0,1,0,0,FALSE
23,0,0,1,0,0,FALSE
26,1,0,1,0,0,FALSE
34,1,0,0,1,0,FALSE
21,1,0,1,0,0,FALSE
32,1,0,1,1,0,TRUE
33,1,1,1,0,0,FALSE
55,1,1,1,0,0,FALSE
26,1,0,1,0,0,
48,1,0,1,0,0,FALSE
35,1,0,1,0,0,FALSE
19,1,0,0,1,0,TRUE
45,1,0,1,0,0,FALSE
28,1,1,0,0,0,TRUE
42,1,0,1,0,0,FALSE
17,1,0,1,0,0,FALSE
30,1,1,0,0,0,FALSE
21,1,1,0,0,0,FALSE
45,1,0,1,0,0,FALSE
33,1,0,0,0,0,TRUE
46,1,0,1,0,0,TRUE
23,1,0,1,0,0,FALSE
37,0,1,0,0,1,FALSE
43,1,0,1,0,0,FALSE
40,1,0,1,0,0,FALSE
59,1,0,1,0,1,FALSE
31,1,0,1,1,0,TRUE
46,1,0,1,0,0,FALSE
37,1,0,1,0,0,FALSE
28,1,0,1,1,0,TRUE
28,1,0,1,1,0,FALSE
55,0,1,0,0,0,FALSE
29,1,0,0,0,0,FALSE
26,1,0,1,0,0,FALSE
45,1,0,0,0,0,FALSE
27,1,1,1,1,0,FALSE
31,1,0,1,0,0,TRUE
51,1,0,1,1,0,FALSE
50,1,0,1,0,0,FALSE
27,1,0,0,0,0,FALSE
18,1,0,1,0,0,TRUE
39,1,1,1,0,0,FALSE
46,1,0,1,0,0,FALSE
19,1,0,0,0,0,TRUE
62,0,0,1,0,0,FALSE
49,1,1,1,0,0,FALSE
31,1,0,1,0,0,FALSE
38,1,1,0,1,0,FALSE
40,1,0,1,0,0,FALSE
35,1,0,0,0,0,FALSE
34,1,0,0,0,0,FALSE
44,1,0,1,0,0,FALSE
23,1,0,1,0,0,TRUE
43,1,0,0,1,0,FALSE
,1,0,1,0,0,TRUE
31,1,0,1,0,0,FALSE
27,1,0,1,0,0,FALSE
46,0,1,1,1,0,FALSE
18,1,0,0,1,0,FALSE
59,1,0,1,0,0,
57,1,0,1,0,0,TRUE
15,1,0,1,1,0,FALSE
25,1,0,1,0,0,TRUE
50,0,1,1,1,0,FALSE
31,1,0,1,1,0,FALSE
35,1,0,1,1,0,FALSE
27,1,0,1,0,0,FALSE
20,1,0,1,0,0,TRUE
27,1,0,1,0,0,FALSE
